cause,coordinates,day,fuelsinvolved,incidentype,location,perimeter,personnel,size
Lightning,"35.945 latitude, -115.446 longitude ","Monday July 20th, 2020 approx.   09:00 AM",,Wildfire,Cottonwood Pass,100%,193,"2,817 Acres"
Under Investigation,,"Monday June 08th, 2020 approx.   03:00 PM",,Wildfire,"30 miles south of Fredonia, AZ",,"71,450 Acres",100%
Lightning,"33.57 latitude, -107.442 longitude ","Monday June 15th, 2020 approx.   12:33 PM","Timber (litter and understory), Timber (grass and understory)",Wildfire,"Vics Peak, Springtime Campground","Tuesday August 04th, 2020 approx.   12:00 AM","14,624 Acres",100%
Human,"43.116 latitude, -102.621 longitude ","Tuesday June 16th, 2020 approx.   01:00 PM",Timber (grass and understory),Wildfire,"6 miles north of Pine Ridge, SD",100%,71,"1,577 Acres"
Unknown,"48.136 latitude, -119.038 longitude ","Thursday July 23rd, 2020 approx.   02:40 PM",,Wildfire,"1 mile SW of Nespelem, Washington",100%,134,"5,146 Acres"
Lightning,Lightning Strike Fires,"Sunday July 26th, 2020 approx.   05:00 PM",,Wildfire,Klamath National Forest,,,
Lightning,Wildfire,"Wednesday July 22nd, 2020 approx.   10:15 AM",,Wildfire,"Tule Lake, Lava Beds National Monument, Medicine Lake, CA",97%,255,"83,261 Acres"
Unknown,"46.205 latitude, -105.724 longitude ","Thursday July 30th, 2020 approx.   01:00 PM",,Wildfire,"15 miles south of Miles City, MT",100%,44,"1,289 Acres"
"Lightning
",Wildfire ,"Saturday August 01st, 2020 approx.   08:00 PM",,Wildfire,"Eight (8) miles East of Twin Bridges, MT in the Tobacco Root Mountains

Approximately 6 miles northeast of Sheridan, MT",50%,67,129 Acres
Lightning,"40.336 latitude, -121.51 longitude ","Saturday August 01st, 2020 approx.   02:00 PM",,Wildfire,Near the junction of State Highways 36 and 172 near Childs Meadows.,97%,201,684 Acres
Piece From Faulty Catalytic Converter,"34.713 latitude, -111.727 longitude ","Saturday August 01st, 2020 approx.   04:45 PM",,Wildfire,Approx. 5 miles s/se of Village of Oak Creek,80%,18,500 Acres
Lightning,,"Friday August 07th, 2020 approx.   12:00 AM",,Wildfire,"Selway-Bitterroot Wilderness, Nez Perce-Clearwater National Forests",,2 Acres,
Lightning,Wildfire,"Sunday August 02nd, 2020 approx.   02:00 PM","Ponderosa Pine, Oak, Grasses",Wildfire,3 miles East of Tusayan near FR 302 & 2709,100%,30,97 Acres
Unknown,"40.954 latitude, -114.344 longitude ","Sunday August 02nd, 2020 approx.   02:07 PM",,Wildfire,"20 miles NW of Wendover, NV",95%,58,"7,115 Acres"
Unknown,"41.004 latitude, -109.272 longitude ","Monday August 03rd, 2020 approx.   02:00 PM","Short Grass, Brush, Sage Brush, Juniper",Wildfire,"5 miles North of Dutch John, UT",90%,142,"7,633 Acres"
"Natural, Lightning",Wildland Fire,"Wednesday July 29th, 2020 approx.   04:30 PM",,Wildfire,"23 miles east of Fredonia, AZ",100%,30,"11,405 Acres"
Under Investigation,"Minimal Activity 
Smoldering ","Monday July 27th, 2020 approx.   03:00 PM",,Wildfire,"8 MILES N/NE OF IDAHO CITY, ID",100%,96,91 Acres
Lightning,"45.205 latitude, -119.194 longitude ","Tuesday July 28th, 2020 approx.   03:39 PM",,Wildfire,"13.5 miles northwest of Ukiah, Oregon",100%,5,85 Acres
Human,"43.273 latitude, -102.711 longitude ","Thursday August 06th, 2020 approx.   05:00 PM","Rough Terrain, heavy fuel loading, continuous fuel",Wildfire,"Between Red Shirt and Oglala, South Dakota off SD Highway 41",95%,9,"1,367 Acres"
Lightning,,"Wednesday July 22nd, 2020 approx.   08:00 PM",,Wildfire,"40.841 latitude, -122.885 longitude ",,15 Acres,
"Sunday June 28th, 2020 approx.   02:30 PM",,Humboldt-Toiyabe National Forest,,Wildfire,Page For Emerging Initial Attack Incidents On The Humboldt-toiyabe National Forest.,,1 Acres,
Lightning,"Grass, Sagebrush, Juniper","Wednesday August 05th, 2020 approx.   04:00 PM",,Wildfire,"20 miles SE of Princeton, Oregon",95%,115,"3,391 Acres"
Lightning,"The Phillips Fire, Reported On Aug. 5, Is Located About 8 Miles North Of Fairfield. It Was Started By Lightning.

The Road Into The Area Is Closed. A Forest Closure Is In Place For The Fire Area.
","Wednesday August 05th, 2020 approx.   11:00 PM",,Wildfire,"8 miles north of Fairfield, Idaho",100%,233,"2,112 Acres"
Under Investigation,"36.899 latitude, -119.24 longitude ","Monday August 03rd, 2020 approx.   12:45 PM",,Wildfire,Approximately 1/2 mile southeast of Big Creek Road and Trimmer Springs Road intersection.,98%,134,594 Acres
"Tuesday August 11th, 2020 approx.   07:00 PM",,"Matthew Voges, Texas A&M Forest Service; Mullin Fire Department","grass, brush",Wildfire,"31.513 latitude, -98.842 longitude ",100%,32,252 Acres
"Monday August 10th, 2020 approx.   04:15 PM",,"Sam Bundy, Texas A&M Forest Service","grass, brush",Wildfire,"32.959 latitude, -98.28 longitude ",100%,18,"2,654 Acres"
Lightning,Wildfire,"Monday June 15th, 2020 approx.   02:30 PM",,Wildfire,20 miles NW of Pagosa Springs CO,100%,5,107 Acres
Lightning,,"Friday July 24th, 2020 approx.   12:00 AM",,Wildfire,4 miles south of White Wolf Campground and 1 mile west of Lukens Lake Trail ,"
",81 Acres,
Powerline,"30.863 latitude, -100.548 longitude ","Thursday August 13th, 2020 approx.   03:15 PM",,Wildfire,5 miles east of Eldorado,,73 Acres,100%
"33.961 latitude, -116.811 longitude ",,,,Burned Area Emergency Response,,,,
"Tuesday August 11th, 2020 approx.   12:00 AM",,"Josh McGee (IV, USFS)",Mixed,Wildfire,"43.39 latitude, -105.072 longitude ",40%,38,770 Acres
Unknown,,BLM Wyoming,,Wildfire,"42.286 latitude, -107.052 longitude ",,"1,700 Acres",90%
Lightning,"33.544 latitude, -110.42 longitude ","Saturday August 01st, 2020 approx.   04:30 PM","Primary carrier of the fire is currently the timber litter, grass and light brush associated with the under story of the ponderosa pine forest. Oak scrub is involved on the western edge of the burn area.",Wildfire,"11 miles north of San Carlos, AZ",90%,243,"21,284 Acres"
"Monday August 03rd, 2020 approx.   12:00 AM",,San Mateo Mountains,Mixed Conifer and Ponderosa Pine,Wildfire,Ryan Carbajal,84%,20,26 Acres
Lightning/natural,"33.415 latitude, -109.312 longitude ","Monday July 06th, 2020 approx.   09:08 AM",Primary carrier is grass with timber litter in the conifer stringers and timber stands. Brush patches add areas of intensity but are not currently contributing significantly to spread.,Wildfire,"22 Miles North of Morenci, AZ","Wednesday July 29th, 2020 approx.   12:00 AM","23,142 Acres",100%
Lightning,"38.183 latitude, -119.869 longitude ","Tuesday July 28th, 2020 approx.   04:30 PM",,Wildfire,"Emigrant Wilderness, 1.5 miles southeast of Gianelli Trailhead, and 2 miles east of Crabtree Trailhead",,25,13 Acres
Lightning,"47.991 latitude, -120.7 longitude ","Friday July 31st, 2020 approx.   12:00 AM","timber, brush",Wildfire,11 Miles NE of Lake Wenatchee,75%,149,430 Acres
Unknown,"46.852 latitude, -112.671 longitude ","Thursday August 06th, 2020 approx.   12:00 AM","Heavy Timber (litter and understory),Fire is burning in gray stage beetle killed lodgepole with a high component of dead and down.  ",Wildfire,Brian McGowan,75%,30,5 Acres
Debris Burning,"31.334 latitude, -99.769 longitude ","Thursday August 13th, 2020 approx.   05:15 PM",,Wildfire,"10 miles north of Eden, TX",,478 Acres,100%
Under Investigation,Wildland Fire,"Thursday August 13th, 2020 approx.   01:45 PM",,Wildfire,Keyesville Area - Black Gulch North,80%,22,2 Acres
Unknown,"39.572 latitude, -107.266 longitude ","Monday August 10th, 2020 approx.   01:30 PM","Extreme,Crowning,Running,Spotting,Narrative:,Fire spread is primarily wind and topography driven. Extreme fire behavior is expected when winds and,slope align. Fire is burning in and near several large canyons",Wildfire,Glenwood Canyon,"
,
,
,
,
",553,"19,440 Acres"
Unknown,,"Thursday August 13th, 2020 approx.   02:53 PM",,Wildfire,SAN GABRIEL CYN RD/ N RANCH RD,3%,100,"1,400 Acres"
Lightning/natural,"44.858 latitude, -113.437 longitude ","Tuesday August 11th, 2020 approx.   10:30 AM",Timber and brush,Wildfire,"29 air miles East of Salmon Idaho, South of Lemhi Pass","Wednesday September 30th, 2020 approx.   12:00 PM",318,"4,663 Acres"
Lightning,"37.654 latitude, -106.86 longitude ","Sunday June 28th, 2020 approx.   01:00 PM",,Wildfire,"13 miles south of Creede, CO.",85%,3,171 Acres
Lightning,"Wildfire Located 14 Northeast Of Willow Creek, Ca","Monday July 27th, 2020 approx.   11:03 AM",,Wildfire,"14 miles northeast of Willow Creek, CA",35%,"1,490","10,895 Acres"
Unknown,"35.465 latitude, -118.544 longitude ","Monday August 03rd, 2020 approx.   03:30 PM",,Wildfire,"Near the community of Havilah in Kern County, about nine miles south of Lake Isabella.",99%,92,"7,760 Acres"
Lightning,Wildfire,"Friday July 31st, 2020 approx.   05:15 PM","Pinyon, juniper, oak, and sage ",Wildfire,"18 miles north of Grand Junction, Colorado",7%,757,"74,807 Acres"
Unknown,Wildfire,"Wednesday August 12th, 2020 approx.   03:45 PM","Chaparral (6 feet),Brush (2 feet),Timber (Grass and Understory)",Wildfire,"Lake Hughes, Unincorporated LA County",12%,"1,563","14,714 Acres"
,,,,,,,,
Human Caused,"33.998 latitude, -116.933 longitude ","Friday July 31st, 2020 approx.   05:00 PM",,Wildfire,Oak Glen Community/Cherry Valley,90%,897,"33,424 Acres"
