Cause,Coordinates,Date,Fuels Involved,Incident,Incident Type,Location,Perimeter Contained (%),Personnel Involved,Fire Size (Acres)
Lightning,"38.183 latitude, -119.869 longitude","Tuesday July 28th, 2020 approx.   04:30 PM",,Bell Fire,Wildfire,"Emigrant Wilderness, 1.5 miles southeast of Gianelli Trailhead, and 2 miles east of Crabtree Trailhead",,25,13
Unkown,Wildfire,"Wednesday August 12th, 2020 approx.   03:45 PM","Chaparral (6 feet),Brush (2 feet),Timber (Grass and Understory)",Lake Fire,Wildfire,"Lake Hughes, Unincorporated LA County",12.0,1563,14714
Unknown,"44.459 latitude, -109.547 longitude","Saturday June 13th, 2020 approx.   12:45 AM",,Lost Creek Fire,Wildfire,"25 miles west of Cody, Wyo",100.0,3,591
Lightning,"65.854 latitude, -149.579 longitude","Friday June 05th, 2020 approx.   03:15 PM","Timber (grass and understory),Brush (2 feet),Smoldering in the interior of the burn.",Isom Creek Fire (#187),Wildfire,17 miles southwest of Stevens Village,69.0,249,12180
"Human Caused, Under Investigation","33.807 latitude, -112.119 longitude","Tuesday June 23rd, 2020 approx.   02:30 PM",Grass and brush,Aquila Fire,Wildfire,"Darrell Willis, DFFM",100.0,90,893
Human-caused,,"Saturday June 20th, 2020 approx.   11:00 AM",,Central Fire,Wildfire,NE of New River,100.0,25,4499
Lightning,"33.419 latitude, -111.301 longitude","Saturday May 30th, 2020 approx.   10:00 PM",,Sawtooth Fire,Wildfire,Superstition Mountains,100.0,,24729
Lightning,Burning In Rough Steep Terrain,"Friday June 26th, 2020 approx.   10:45 AM",,Split Fire,Wildfire,Split Mountain,,5,18
Human-caused,,"Saturday June 13th, 2020 approx.   02:00 PM",CWZ Type 3 Team will transition the incident back to Tonto National Forest Management 7/2.,Bush Fire,Wildfire,"Up to 38 miles northeast of Mesa, AZ along Hwy 87.",100.0,20,193455
Under Investigation,"39.576 latitude, -119.913 longitude","Friday June 26th, 2020 approx.   09:56 PM",Grass and sage,Poeville,Wildfire,East side of Peavine Mountain,100.0,132,2975
Lightning,"Fire Burning Mid-slope In Mixed Conifer And Aspen Between Haycamp And Taylor Mesa, Northeast Of Dolores, Co.","Saturday June 13th, 2020 approx.   12:00 AM",Mixed conifer and aspen,Loading Pen,Wildfire,23 miles from Cortez,100.0,,42
Lightning,Wildfire,"Friday June 26th, 2020 approx.   04:00 PM",,Canal,Wildfire,"5 miles north of Oak City, Utah",98.0,168,78065
Human,"31.444 latitude, -111.418 longitude","Monday July 06th, 2020 approx.   07:32 PM","Chaparral (6 feet),Tall Grass (2.5 feet)",Fresnal Fire,Wildfire,"Approximately 10 miles southwest of Arivaca, AZ on the U.S. / Mexico Border.",90.0,11,502
Lightning,Wildfire,"Saturday July 11th, 2020 approx.   10:00 PM",Grass and brush,Navarro Fire,Wildfire,14 mi. W. Sahuarita,100.0,10,2306
Lightning,"34.266 latitude, -111.54 longitude","Friday July 03rd, 2020 approx.   03:00 PM",,Polles Fire,Wildfire,"Mazatzal Wilderness - 11 miles west of Payson, AZ and 6 miles south of Pine-Strawberry, AZ",92.0,177,628
"32.345 latitude, -110.876 longitude",,,,2020 Coronado BAER,Burned Area Emergency Response,,,,
Lightning,"33.479 latitude, -110.298 longitude","Sunday July 12th, 2020 approx.   09:30 AM","Brush, tall grass, and hardwood litter. Heavy grass crop and dry light brush are the primary carriers of the fire.",Blue River 2,Wildfire,15 miles NE of San Carlos,67.0,288,28051
Lightning,Wildfire,"Saturday June 06th, 2020 approx.   01:45 PM",,Tadpole Fire,Wildfire,"Tadpole Ridge, 2.5 miles north of Pinos Altos NM.",100.0,19,11159
Lightning,"35.84 latitude, -109.378 longitude","Saturday June 27th, 2020 approx.   02:00 PM",,Wood Springs 2 Fire,Wildfire,"12.5 miles NE of Ganado, AZ",96.0,309,12861
Unknown,"43.857 latitude, -107.919 longitude","Tuesday July 14th, 2020 approx.   04:45 PM",,Neiber Fire,Wildfire,"7 miles South of Worland, WY",100.0,79,17545
Lightning,Wildfire,"Friday June 05th, 2020 approx.   10:00 PM","Short Grass (1 foot),Brush (2 feet),Hardwood Litter",Bighorn,Wildfire,Northeast of Tucson,100.0,16,119987
Lightning,"33.183 latitude, -108.333 longitude","Saturday June 06th, 2020 approx.   10:15 AM",,Good Fire,Wildfire,1.5 miles southwest of Gila Cliff Dwellings National Monument,100.0,1,17950
Under Investigation,Wildfire,"Thursday July 16th, 2020 approx.   03:00 AM",,Bertschi Road Fire,Wildfire,"South of the town of Glenwood, WA",90.0,304,250
Human,"Mt. Charleston, Nevada","Sunday June 28th, 2020 approx.   02:30 PM",,Mahogany,Wildfire,"28 miles NW of Las Vegas, Nevada.",100.0,185,2758
Lightning,"39.804 latitude, -108.362 longitude","Monday July 13th, 2020 approx.   12:00 PM","Timber (Litter and Understory),Tall Grass (2.5 feet)",Fawn Creek Fire,Wildfire,"26 miles SW of Meeker, CO",100.0,3,3226
Lightning,"39.888 latitude, -108.442 longitude","Tuesday July 14th, 2020 approx.   12:15 PM",,Wolf Fire,Wildfire,"30 miles WSW of Meeker, CO",100.0,16,274
Lightning,"33.315 latitude, -108.562 longitude","Sunday June 28th, 2020 approx.   11:20 AM",,Cub Fire,Wildfire,3 miles northeast of Mogollon Baldy Lookout,100.0,1,25950
"Monday July 20th, 2020 approx.   12:00 PM",,"Milepost 21 along Hwy 96, east of highway.",,Milepost 21,Wildfire,Wildland Fire,90.0,150,100
Unknown,"42.503 latitude, -120.553 longitude","Tuesday July 21st, 2020 approx.   01:00 PM",,Ben Young Fire,Wildfire,"Approximately 13 miles south of Paisley, OR",90.0,272,1249
Unknown,Contained On 7/17/20,"Wednesday July 08th, 2020 approx.   05:45 PM","Timber (Litter and understory), Brush (2 ft), Short grass (1 ft)",Ojo de Los Casos,Wildfire,"North of Mountainair, NM; West of Chilili",100.0,,180
Under Investigation,,"Monday June 08th, 2020 approx.   03:00 PM",,Mangum Fire,Wildfire,"30 miles south of Fredonia, AZ",100.0,,71450
Lightning,"36.331 latitude, -112.573 longitude","Thursday July 16th, 2020 approx.   06:00 AM","grass, brush, pinyon/juniper",Thumb Fire,Wildfire,"33 mi NW of Tusayan, AZ",100.0,3,8354
Lightning,"39.793 latitude, -108.195 longitude","Monday July 13th, 2020 approx.   10:15 AM",,Stewart Fire,Wildfire,"22 miles SW of Meeker, CO",100.0,4,212
"33.591 latitude, -111.418 longitude",,,,2020 Tonto NF BAER Information,Burned Area Emergency Response,,,,
Lightning/natural,"33.415 latitude, -109.312 longitude","Monday July 06th, 2020 approx.   09:08 AM",Primary carrier is grass with timber litter in the conifer stringers and timber stands. Brush patches add areas of intensity but are not currently contributing significantly to spread.,Bringham Fire,Wildfire,"22 Miles North of Morenci, AZ",100.0,,23142
Lightning,,"Sunday July 26th, 2020 approx.   12:00 AM",,Six Rivers Lightning Fires 2020,Wildfire,"41.194 latitude, -123.458 longitude",,,
Unknown,"48.136 latitude, -119.038 longitude","Thursday July 23rd, 2020 approx.   02:40 PM",,Greenhouse Fire,Wildfire,"1 mile SW of Nespelem, Washington",100.0,134,5146
Lightning,"35.945 latitude, -115.446 longitude","Monday July 20th, 2020 approx.   09:00 AM",,Cottonwood,Wildfire,Cottonwood Pass,100.0,193,2817
Under Investigation,"48.652 latitude, -119.248 longitude","Monday July 27th, 2020 approx.   04:15 PM",,Anglin Fire,Wildfire,"Anglin Fire - 8 miles E of Tonasket, WA

Green Fire - 12 miles NE of Riverside, WA

Blue Lake Fire - 8 miles N of Concunully, WA",100.0,215,1992
Lightning,"33.57 latitude, -107.442 longitude","Monday June 15th, 2020 approx.   12:33 PM","Timber (litter and understory), Timber (grass and understory)",Vics Peak,Wildfire,"Vics Peak, Springtime Campground",100.0,,14624
Lightning,Lightning Strike Fires,"Sunday July 26th, 2020 approx.   05:00 PM",,KNF Lightning July 2020,Wildfire,Klamath National Forest,,,
Lightning,Wildfire,"Wednesday July 22nd, 2020 approx.   10:15 AM",,July Complex 2020,Wildfire,"Tule Lake, Lava Beds National Monument, Medicine Lake, CA",97.0,255,83261
Unknown,"46.205 latitude, -105.724 longitude","Thursday July 30th, 2020 approx.   01:00 PM",,Pumpkin,Wildfire,"15 miles south of Miles City, MT",100.0,44,1289
Lightning,Wildfire,"Sunday August 02nd, 2020 approx.   02:00 PM","Ponderosa Pine, Oak, Grasses",Halfway Fire,Wildfire,3 miles East of Tusayan near FR 302 & 2709,100.0,30,97
Human,"43.116 latitude, -102.621 longitude","Tuesday June 16th, 2020 approx.   01:00 PM",Timber (grass and understory),Wilson Road,Wildfire,"6 miles north of Pine Ridge, SD",100.0,71,1577
Lightning,Wildfire,"Saturday August 01st, 2020 approx.   08:00 PM",,Old Baldy Fire,Wildfire,"Eight (8) miles East of Twin Bridges, MT in the Tobacco Root Mountains

Approximately 6 miles northeast of Sheridan, MT",50.0,67,129
Under Investigation,"Minimal Activity 
Smoldering","Monday July 27th, 2020 approx.   03:00 PM",,Golden Fire,Wildfire,"8 MILES N/NE OF IDAHO CITY, ID",100.0,96,91
Piece From Faulty Catalytic Converter,"34.713 latitude, -111.727 longitude","Saturday August 01st, 2020 approx.   04:45 PM",,Pig Fire,Wildfire,Approx. 5 miles s/se of Village of Oak Creek,80.0,18,500
Lightning,,"Friday August 07th, 2020 approx.   12:00 AM",,Cub Lake Fire,Wildfire,"Selway-Bitterroot Wilderness, Nez Perce-Clearwater National Forests",,,2
Unknown,"41.004 latitude, -109.272 longitude","Monday August 03rd, 2020 approx.   02:00 PM","Short Grass, Brush, Sage Brush, Juniper",Richard Mountain Fire,Wildfire,"5 miles North of Dutch John, UT",90.0,142,7633
Unknown,"40.954 latitude, -114.344 longitude","Sunday August 02nd, 2020 approx.   02:07 PM",,Lost Fire,Wildfire,"20 miles NW of Wendover, NV",95.0,58,7115
"Natural, Lightning",Wildland Fire,"Wednesday July 29th, 2020 approx.   04:30 PM",,Pine Hollow Fire,Wildfire,"23 miles east of Fredonia, AZ",100.0,30,11405
Lightning,"40.336 latitude, -121.51 longitude","Saturday August 01st, 2020 approx.   02:00 PM",,Stump Fire,Wildfire,Near the junction of State Highways 36 and 172 near Childs Meadows.,97.0,201,684
Lightning,,"Wednesday July 22nd, 2020 approx.   08:00 PM",,SHF Lightning Fires 2020,Wildfire,"40.841 latitude, -122.885 longitude",,,15
"Sunday June 28th, 2020 approx.   02:30 PM",,Humboldt-Toiyabe National Forest,,Humboldt-Toiyabe 2020 Initial Attack,Wildfire,Page For Emerging Initial Attack Incidents On The Humboldt-toiyabe National Forest.,,,1
Under Investigation,"36.899 latitude, -119.24 longitude","Monday August 03rd, 2020 approx.   12:45 PM",,Trimmer Fire,Wildfire,Approximately 1/2 mile southeast of Big Creek Road and Trimmer Springs Road intersection.,98.0,134,594
Human,"43.273 latitude, -102.711 longitude","Thursday August 06th, 2020 approx.   05:00 PM","Rough Terrain, heavy fuel loading, continuous fuel",#6,Wildfire,"Between Red Shirt and Oglala, South Dakota off SD Highway 41",95.0,9,1367
Lightning,"Grass, Sagebrush, Juniper","Wednesday August 05th, 2020 approx.   04:00 PM",,Neals Hill,Wildfire,"20 miles SE of Princeton, Oregon",95.0,115,3391
Lightning,"The Phillips Fire, Reported On Aug. 5, Is Located About 8 Miles North Of Fairfield. It Was Started By Lightning.

The Road Into The Area Is Closed. A Forest Closure Is In Place For The Fire Area.","Wednesday August 05th, 2020 approx.   11:00 PM",,Phillips Creek,Wildfire,"8 miles north of Fairfield, Idaho",100.0,233,2112
Lightning,Wildfire,"Monday June 15th, 2020 approx.   02:30 PM",,Sand Creek Fire,Wildfire,20 miles NW of Pagosa Springs CO,100.0,5,107
Lightning,"45.205 latitude, -119.194 longitude","Tuesday July 28th, 2020 approx.   03:39 PM",,Matlock Fire,Wildfire,"13.5 miles northwest of Ukiah, Oregon",100.0,5,85
"Tuesday August 11th, 2020 approx.   07:00 PM",,"Matthew Voges, Texas A&M Forest Service; Mullin Fire Department","grass, brush",Smith Fire,Wildfire,"31.513 latitude, -98.842 longitude",100.0,32,252
"Monday August 10th, 2020 approx.   04:15 PM",,"Sam Bundy, Texas A&M Forest Service","grass, brush",Pennington Creek Fire,Wildfire,"32.959 latitude, -98.28 longitude",100.0,18,2654
Lightning,,"Friday July 24th, 2020 approx.   12:00 AM",,Blue Jay,Wildfire,4 miles south of White Wolf Campground and 1 mile west of Lukens Lake Trail,,,81
Lightning,"47.991 latitude, -120.7 longitude","Friday July 31st, 2020 approx.   12:00 AM","timber, brush",Chikamin,Wildfire,11 Miles NE of Lake Wenatchee,75.0,149,430
Under Investigation,Wildland Fire,"Thursday August 13th, 2020 approx.   01:45 PM",,Gulch Fire,Wildfire,Keyesville Area - Black Gulch North,80.0,22,2
Debris Burning,"31.334 latitude, -99.769 longitude","Thursday August 13th, 2020 approx.   05:15 PM",,Burk Fire,Wildfire,"10 miles north of Eden, TX",100.0,,478
Lightning,"37.654 latitude, -106.86 longitude","Sunday June 28th, 2020 approx.   01:00 PM",,Goose Creek,Wildfire,"13 miles south of Creede, CO.",85.0,3,171
"Thursday August 13th, 2020 approx.   07:00 PM",,approximately 9 miles north of Fredericksburg,,Camp House Fire,Wildfire,"Curtis Ward, Texas A&M Forest Service",100.0,,70
"32.237 latitude, -110.534 longitude",,,,Mica Bowl Fire,Wildfire,,,,
"Unknown, Under Investigation","40.609 latitude, -105.879 longitude","Thursday August 13th, 2020 approx.   01:48 PM","Highway 14 is closed from Rustic to Gould. Larimer County has issued evacuation orders for areas around the fire from Highway 14 north to Deadman Road and Four Corners, from Red  Feather Lakes west to Cameron Pass.",Cameron Peak Fire,Wildfire,"15 miles SW of Redfeather Lakes, CO",,120,5424
Human,"45.655 latitude, -121.376 longitude","Wednesday August 12th, 2020 approx.   12:00 AM",,Mosier Creek,Wildfire,"Two miles south of Mosier, Oregon",30.0,751,985
"Friday August 14th, 2020 approx.   05:10 PM",,"Sam Bundy, Texas A&M Forest Service",,Turkey Creek Fire,Wildfire,"32.935 latitude, -98.136 longitude",70.0,,67
"Friday August 14th, 2020 approx.   12:30 PM",,"Stephen Tanner, Texas A&M Forest Service",,Grasshopper Fire,Wildfire,"33.646 latitude, -98.322 longitude",100.0,,104
Lightning,"33.667 latitude, -105.629 longitude","Tuesday August 04th, 2020 approx.   04:30 PM",,Dark Canyon,Wildfire,"Dark Canyon, North of Tucson Mountain. Approx. 9 miles from Capitan, NM",10.0,102,1509
Lightning,"43.982 latitude, -116.058 longitude","Thursday August 06th, 2020 approx.   01:55 AM",,Pumpkin Fire,Wildfire,"8 miles SSW of Garden Valley, Idaho",50.0,345,438
"32.204 latitude, -110.547 longitude",,,,Spud Rock Fire,Wildfire,,,,
"30.093 latitude, -97.203 longitude",,,,Regen Hill Fire,Wildfire,,95.0,,25
Accidental Roadside Start,,"Thursday August 13th, 2020 approx.   04:30 PM",,Trails Fire,Wildfire,"Will Hood, Texas A&M Forest Service",95.0,101,400
Unknown,"39.572 latitude, -107.266 longitude","Monday August 10th, 2020 approx.   01:30 PM","Extreme,Crowning,Running,Spotting,Narrative:,Fire spread is primarily wind and topography driven. Extreme fire behavior is expected when winds and,slope align. Fire is burning in and near several large canyons",Grizzly Creek Fire,Wildfire,Glenwood Canyon,,553,19440
Unknown,"35.465 latitude, -118.544 longitude","Monday August 03rd, 2020 approx.   03:30 PM",,Stagecoach Fire,Wildfire,"Near the community of Havilah in Kern County, about nine miles south of Lake Isabella.",99.0,92,7760
Lightning/natural,"44.858 latitude, -113.437 longitude","Tuesday August 11th, 2020 approx.   10:30 AM",Timber and brush,Bear Creek Fire,Wildfire,"29 air miles East of Salmon Idaho, South of Lemhi Pass",,318,4663
Lightning,"40.818 latitude, -119.648 longitude","Wednesday August 12th, 2020 approx.   03:16 PM",,Poodle Fire,Wildfire,"20 miles NW of Gerlarch, NV",10.0,319,12100
Lightning,"Wildfire Located 14 Northeast Of Willow Creek, Ca","Monday July 27th, 2020 approx.   11:03 AM",,Red Salmon Complex,Wildfire,"14 miles northeast of Willow Creek, CA",35.0,1490,10895
Lightning,Wildfire,"Thursday August 13th, 2020 approx.   12:00 AM",shrubs/trees/grasses,Wood Canyon,Wildfire,Peloncilo Mountain Wilderness,10.0,40,2147
Human-caused - Suspected Arson,Wildfire,"Thursday August 13th, 2020 approx.   02:53 PM",,Ranch2,Wildfire,SAN GABRIEL CYN RD/ N RANCH RD,3.0,143,1400
Human Caused,"33.998 latitude, -116.933 longitude","Friday July 31st, 2020 approx.   05:00 PM",,Apple Fire,Wildfire,Oak Glen Community/Cherry Valley,90.0,897,33424
